TDCchannel,hodoChannel,inputPort,VHDname
00,H4Bu08,D00,E08
01,H4Bu07,D01,E09
02,H4Bu06,D02,E10
03,H4Bu05,D03,E11
04,H4Bu04,D04,E12
05,H4Bu03,D05,E13
06,H4Bu02,D06,E14
07,H4Bu01,D07,E15
08,H4Bd08,D08,E08
09,H4Bd07,D09,E09
10,H4Bd06,D10,E10
11,H4Bd05,D11,E11
12,H4Bd04,D12,E12
13,H4Bd03,D13,E13
14,H4Bd02,D14,E14
15,H4Bd01,D15,E15
16,H4Bu16,D16,E00
17,H4Bu15,D17,E01
18,H4Bu14,D18,E02
19,H4Bu13,D19,E03
20,H4Bu12,D20,E04
21,H4Bu11,D21,E05
22,H4Bu10,D22,E06
23,H4Bu09,D23,E07
24,H4Bd16,D24,E00
25,H4Bd15,D25,E01
26,H4Bd14,D26,E02
27,H4Bd13,D27,E03
28,H4Bd12,D28,E04
29,H4Bd11,D29,E05
30,H4Bd10,D30,E06
31,H4Bd09,D31,E07
32,H2B16,B00,B00
33,H2B15,B01,B01
34,H2B14,B02,B02
35,H2B13,B03,B03
36,H2B12,B04,B04
37,H2B11,B05,B05
38,H2B10,B06,B06
39,H2B09,B07,B07
40,H2B08,B08,B08
41,H2B07,B09,B09
42,H2B06,B10,B10
43,H2B05,B11,B11
44,H2B04,B12,B12
45,H2B03,B13,B13
46,H2B02,B14,B14
47,H2B01,B15,B15
48,H3B16,B16,D00
49,H3B15,B17,D01
50,H3B14,B18,D02
51,H3B13,B19,D03
52,H3B12,B20,D04
53,H3B11,B21,D05
54,H3B10,B22,D06
55,H3B09,B23,D07
56,H3B08,B24,D08
57,H3B07,B25,D09
58,H3B06,B26,D10
59,H3B05,B27,D11
60,H3B04,B28,D12
61,H3B03,B29,D13
62,H3B02,B30,D14
63,H3B01,B31,D15
64,RFCLOCK,G00,XXX
65,STOP,G01,XXX
66,XXXXX,A02,XXX
67,XXXXX,A03,XXX
68,XXXXX,A04,XXX
69,XXXXX,A05,XXX
70,XXXXX,A06,XXX
71,XXXXX,A07,XXX
72,XXXXX,A08,XXX
73,XXXXX,A09,XXX
74,XXXXX,A10,XXX
75,XXXXX,A11,XXX
76,XXXXX,A12,XXX
77,XXXXX,A13,XXX
78,XXXXX,A14,XXX
79,XXXXX,A15,XXX
80,H1B19,A16,A00
81,H1B18,A17,A01
82,H1B17,A18,A02
83,H1B16,A19,A03
84,H1B15,A20,A04
85,H1B14,A21,A05
86,H1B13,A22,A06
87,H1B12,A23,A07
88,H1B11,A24,A08
89,H1B10,A25,A09
90,H1B09,A26,A10
91,H1B08,A27,A11
92,H1B07,A28,A12
93,H1B06,A29,A13
94,H1B05,A30,A14
95,XXXXX,A31,XXX
